,u,v,h,w,X,Y,Z,type,n_frame
542,168,234,12,10,-271,825,73,yellow,35
543,190,235,14,10,-56,181,16,yellow,35
544,59,260,17,12,-39,95,7,blue,35
545,649,246,37,27,1,51,4,yellow,36
546,794,282,50,36,80,656,29,yellow,36
547,566,231,29,20,-9,222,19,yellow,36
548,316,277,38,27,-197,932,47,blue,36
549,1000,390,84,63,271,965,-43,yellow,36
550,276,265,28,19,-113,466,29,blue,36
551,132,264,18,13,-217,614,40,yellow,36
552,230,427,95,76,-12,47,-4,blue,36
553,368,227,18,13,-131,722,67,yellow,36
554,480,226,21,15,-21,202,19,yellow,36
555,199,263,21,15,-30,99,6,blue,36
556,280,232,17,12,-110,448,40,yellow,36
557,224,235,16,11,-194,680,59,yellow,36
558,307,315,43,30,-139,644,14,blue,36
559,83,264,16,12,-185,472,31,blue,36
560,75,261,16,12,-70,175,12,blue,36
561,815,293,57,43,123,882,30,yellow,37
562,695,248,42,30,27,528,37,yellow,37
563,319,317,55,40,-17,82,1,blue,37
564,309,277,39,28,-111,513,26,blue,37
565,1076,410,89,68,303,893,-55,yellow,37
566,243,263,26,18,-39,144,9,blue,37
567,458,225,22,16,-110,943,87,yellow,37
568,188,254,23,16,-215,695,50,blue,37
569,363,225,19,13,-17,93,9,yellow,37
570,585,231,29,21,-12,431,37,yellow,37
571,239,402,76,58,-248,980,-51,blue,37
572,153,250,20,14,-236,699,52,blue,37
573,308,227,13,10,-224,991,93,yellow,37
574,293,333,64,47,-197,903,3,blue,38
575,271,281,38,27,-207,850,41,blue,38
576,467,226,22,15,-8,69,6,yellow,38
577,578,235,30,22,-22,684,57,yellow,38
578,411,220,20,13,-98,651,64,yellow,38
579,238,259,23,16,-193,706,48,blue,38
580,758,263,43,31,39,413,25,yellow,38
581,191,491,110,87,-175,634,-81,blue,38
582,950,333,69,50,105,439,1,yellow,38
583,399,215,17,11,-121,757,77,yellow,38
584,420,203,12,10,-123,839,93,yellow,38
585,227,249,18,13,-136,480,37,blue,38
586,242,238,14,11,-201,736,63,yellow,38
587,772,283,53,38,77,711,30,yellow,39
588,278,277,36,26,-69,287,15,blue,39
589,297,253,23,16,-64,277,20,blue,39
590,536,228,23,17,-1,14,1,yellow,39
591,231,348,59,45,-210,793,-6,blue,39
592,603,244,34,25,-13,990,75,yellow,39
593,337,235,18,12,-150,738,64,blue,39
594,528,217,20,14,-54,782,78,yellow,39
595,1161,440,86,63,149,368,-30,yellow,39
596,536,207,16,12,-8,124,13,yellow,39
597,383,221,15,11,-84,490,48,blue,39
598,435,210,13,11,-136,998,106,yellow,39
